,time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
828,2021-08-26,2,1630030473,902710539.1896697,0,0.0,5114.433934567942,4897.900797273117,6.217750284928083e-05,2.9341778102599703,130.13095414556844,3.81214922875947,307653658.9,8,9.2592593e-05,8,60154.0,176502.53199837825,7519.25,22062.816499797278,7658.5,22471.40075987598,0.6775048358310001,0.049518600028859265,0.034621538072830145
829,2021-08-27,2,1630117043,916262362.5246141,0,0.0,5980.12787971854,4971.2686494825875,6.072006791757573e-05,2.97822676902548,132.6114256482667,-4.185830823540291,307653658.9,8,9.2592593e-05,8,51446.0,153217.85435928483,6430.75,19152.231794910604,5598.5,16673.60256638915,0.677566284799,0.04924396532248671,0.029901967504832143
830,2021-08-28,2,1630203342,919687054.5820328,0,0.0,9146.5590111785,5014.9341173145895,6.119155264618015e-05,2.98935841644246,134.45584492848815,7.4361068884603965,307653658.9,8,9.2592593e-05,8,33636.0,100550.05969545858,4204.5,12568.757461932324,3505.5,10479.195928839043,0.677628721892,0.04877187178402426,0.021628845572072848
831,2021-08-29,2,1630289833,911825135.740534,0,0.0,7825.748706534734,4980.315465143328,6.054962208117832e-05,2.96380397035003,134.16308747981176,-2.142272551427585,307653658.9,8,9.2592593e-05,8,39313.0,116516.02548637074,4914.125,14564.50318579634,3780.5,11204.660909908289,0.67771253692,0.048341699452691234,0.015092277727443013
832,2021-08-30,2,1630376880,923411805.2872664,0,0.0,5918.465216805816,5027.655679404604,6.369053431484619e-05,3.0014653769725297,134.25672048179692,-2.0709329164395403,307653658.9,8,9.2592593e-05,8,51982.0,156022.17322578604,6497.75,19502.771653223255,6165.5,18505.53478172413,0.677784107659,0.04834739059436632,0.015113861845139218
833,2021-08-31,2,1630462502,906398179.8902271,0,0.0,4459.3949688360635,4905.357202175351,6.239329301321583e-05,2.9461641481236,132.29811946866027,-5.795532551511058,307653658.9,8,9.2592593e-05,8,68990.0,203255.8645790472,8623.75,25406.983072380892,9008.0,26539.04664629739,0.6779419117309999,0.048368436348129255,0.014923775071332019
834,2021-09-01,2,1630548935,909911072.6788551,0,0.0,4298.639917563225,4896.168742638513,6.074494392952917e-05,2.95758248392753,132.9431349316994,-4.3164504613517884,307653658.9,8,9.2592593e-05,8,71570.0,211674.1783746933,8946.25,26459.272296836665,9209.0,27236.377094488624,0.678056121327,0.04833322563743395,0.014844705806223043
835,2021-09-02,2,1630635348,900849980.9063802,0,0.0,4061.970674676525,4819.436445257105,5.931040661187546e-05,2.92813023621212,132.00395620922504,-2.355148644620727,307653658.9,8,9.2592593e-05,8,75740.0,221776.584090706,9467.5,27722.07301133825,8232.5,24105.83216961628,0.678109762815,0.04831638600605776,0.013919360491688251
836,2021-09-03,2,1630721566,921467528.2774575,0,0.0,3697.7603233173077,4887.29127685813,6.007046922240243e-05,2.99514568288288,141.26998320466876,-0.14018282394082002,307653658.9,8,9.2592593e-05,8,83200.0,249196.12081585563,10400.0,31149.515101981953,7367.0,22065.238245798173,0.678190564714,0.04828338314928201,0.014562115444424012
837,2021-09-04,2,1630808031,922038015.7233,0,0.0,6380.208604313563,4872.33232593444,6.003656573773791e-05,2.997,145.16443986927945,0.005927722183893753,307653658.9,8,9.2592593e-05,8,48220.0,144515.34,6027.5,18064.4175,6169.5,18489.9915,0.6781282608879999,0.048242576504316605,0.01456180476016459
